yil,brend,model,viloyat,dvigatel_turi,sotilgan_soni,ortacha_narx_usd,umumiy_tushum_usd
2022,Chevrolet,Lacetti/Gentra,Andijon,Benzin,111,12946.00,1437006.00
2022,Chevrolet,Tracker-2,Andijon,Benzin (Turbo),33,20138.00,664554.00
2022,Chevrolet,Onix,Andijon,Benzin (Turbo),39,16525.00,644475.00
2022,Chevrolet,Malibu-2,Andijon,Benzin (Turbo),4,33950.00,135800.00
2022,BYD,Song Plus DM-i,Andijon,Gibrid (PHEV),10,30264.00,302640.00
2022,BYD,Chazor (Destroyer 05),Andijon,Gibrid (PHEV),7,23463.00,164241.00
2022,BYD,Song Plus EV,Andijon,Elektromobil (EV),1,33843.00,33843.00
2022,BYD,Han,Andijon,Elektromobil (EV),1,48571.00,48571.00
2022,Chery,Tiggo 7 Pro,Andijon,Benzin (Turbo),6,25668.00,154008.00
2022,Chery,Arrizo 6 Pro,Andijon,Benzin (Turbo),3,19939.00,59817.00
2022,Chery,Tiggo 8 Pro,Andijon,Benzin (Turbo),1,31836.00,31836.00
2022,Haval,Jolion,Andijon,Benzin (Turbo),4,22532.00,90128.00
2022,Haval,M6,Andijon,Benzin,4,18698.00,74792.00
2022,Haval,H6,Andijon,Benzin (Turbo),3,28451.00,85353.00
2022,Kia,Sonet,Andijon,Benzin,9,17353.00,156177.00
2022,Kia,K5,Andijon,Benzin,4,32374.00,129496.00
2022,Kia,Sportage,Andijon,Benzin,4,33912.00,135648.00
2022,Geely,Monjaro,Andijon,Benzin (Turbo),2,35148.00,70296.00
2022,Jetour,Dashing,Andijon,Benzin (Turbo),1,26183.00,26183.00
2022,Chevrolet,Cobalt,Namangan,Benzin,112,11462.00,1283744.00
2022,Chevrolet,Damas,Namangan,Benzin,175,8507.00,1488725.00
2022,Chevrolet,Labo,Namangan,Benzin,110,8103.00,891330.00
2022,Chevrolet,Lacetti/Gentra,Namangan,Benzin,88,13183.00,1160104.00
2022,Chevrolet,Tracker-2,Namangan,Benzin (Turbo),33,19682.00,649506.00
2022,Chevrolet,Onix,Namangan,Benzin (Turbo),37,16434.00,608058.00
2022,Chevrolet,Malibu-2,Namangan,Benzin (Turbo),7,33821.00,236747.00
2022,BYD,Song Plus DM-i,Namangan,Gibrid (PHEV),9,30599.00,275391.00
2022,BYD,Chazor (Destroyer 05),Namangan,Gibrid (PHEV),7,23262.00,162834.00
2022,BYD,Song Plus EV,Namangan,Elektromobil (EV),1,34137.00,34137.00
2022,BYD,Han,Namangan,Elektromobil (EV),1,48276.00,48276.00
2022,Chery,Tiggo 7 Pro,Namangan,Benzin (Turbo),5,25585.00,127925.00
2022,Chery,Arrizo 6 Pro,Namangan,Benzin (Turbo),4,20116.00,80464.00
2022,Chery,Tiggo 8 Pro,Namangan,Benzin (Turbo),2,32103.00,64206.00
2022,Haval,Jolion,Namangan,Benzin (Turbo),2,22519.00,45038.00
2022,Haval,M6,Namangan,Benzin,4,18757.00,75028.00
2022,Haval,H6,Namangan,Benzin (Turbo),1,28480.00,28480.00
2022,Kia,Sonet,Namangan,Benzin,8,17394.00,139152.00
2022,Kia,K5,Namangan,Benzin,2,32460.00,64920.00
2022,Kia,Sportage,Namangan,Benzin,1,34055.00,34055.00
2022,Geely,Monjaro,Namangan,Benzin (Turbo),1,35022.00,35022.00
2022,Jetour,Dashing,Namangan,Benzin (Turbo),1,25853.00,25853.00
2022,Chevrolet,Cobalt,Buxoro,Benzin,132,11579.00,1528428.00
2022,Chevrolet,Damas,Buxoro,Benzin,92,8413.00,773996.00
2022,Chevrolet,Labo,Buxoro,Benzin,43,8185.00,351955.00
2022,Chevrolet,Lacetti/Gentra,Buxoro,Benzin,92,13072.00,1202624.00
2022,Chevrolet,Tracker-2,Buxoro,Benzin (Turbo),27,20187.00,545049.00
2022,Chevrolet,Onix,Buxoro,Benzin (Turbo),34,16382.00,556988.00
2022,Chevrolet,Malibu-2,Buxoro,Benzin (Turbo),4,34112.00,136448.00
2022,BYD,Song Plus DM-i,Buxoro,Gibrid (PHEV),11,29885.00,328735.00
2022,BYD,Chazor (Destroyer 05),Buxoro,Gibrid (PHEV),8,23211.00,185688.00
2022,BYD,Song Plus EV,Buxoro,Elektromobil (EV),2,34099.00,68198.00
2022,BYD,Han,Buxoro,Elektromobil (EV),1,48799.00,48799.00
2022,Chery,Tiggo 7 Pro,Buxoro,Benzin (Turbo),3,25514.00,76542.00
2022,Chery,Arrizo 6 Pro,Buxoro,Benzin (Turbo),1,19985.00,19985.00
2022,Chery,Tiggo 8 Pro,Buxoro,Benzin (Turbo),2,31862.00,63724.00
2022,Haval,Jolion,Buxoro,Benzin (Turbo),2,22469.00,44938.00
2022,Haval,M6,Buxoro,Benzin,3,18925.00,56775.00
2022,Haval,H6,Buxoro,Benzin (Turbo),2,28400.00,56800.00
2022,Kia,Sonet,Buxoro,Benzin,4,17563.00,70252.00
2022,Kia,K5,Buxoro,Benzin,2,32304.00,64608.00
2022,Kia,Sportage,Buxoro,Benzin,2,33902.00,67804.00
2022,Geely,Monjaro,Buxoro,Benzin (Turbo),3,35110.00,105330.00
2022,Jetour,Dashing,Buxoro,Benzin (Turbo),3,26107.00,78321.00
2022,Chevrolet,Cobalt,Qashqadaryo,Benzin,72,11357.00,817704.00
2022,Chevrolet,Damas,Qashqadaryo,Benzin,56,8645.00,484120.00
2022,Chevrolet,Labo,Qashqadaryo,Benzin,37,7928.00,293336.00
2022,Chevrolet,Lacetti/Gentra,Qashqadaryo,Benzin,69,12857.00,887133.00
2022,Chevrolet,Tracker-2,Qashqadaryo,Benzin (Turbo),22,19745.00,434390.00
2022,Chevrolet,Onix,Qashqadaryo,Benzin (Turbo),26,16092.00,418392.00
2022,Chevrolet,Malibu-2,Qashqadaryo,Benzin (Turbo),4,34172.00,136688.00
2022,BYD,Song Plus DM-i,Qashqadaryo,Gibrid (PHEV),8,30121.00,240968.00
2022,BYD,Chazor (Destroyer 05),Qashqadaryo,Gibrid (PHEV),7,23280.00,162960.00
2022,BYD,Song Plus EV,Qashqadaryo,Elektromobil (EV),1,34489.00,34489.00
2022,BYD,Han,Qashqadaryo,Elektromobil (EV),1,48085.00,48085.00
2022,Chery,Tiggo 7 Pro,Qashqadaryo,Benzin (Turbo),3,25484.00,76452.00
2022,Chery,Arrizo 6 Pro,Qashqadaryo,Benzin (Turbo),1,19846.00,19846.00
2022,Chery,Tiggo 8 Pro,Qashqadaryo,Benzin (Turbo),1,31893.00,31893.00
2022,Haval,Jolion,Qashqadaryo,Benzin (Turbo),3,22503.00,67509.00
2022,Haval,M6,Qashqadaryo,Benzin,3,18999.00,56997.00
2022,Haval,H6,Qashqadaryo,Benzin (Turbo),1,28338.00,28338.00
2022,Kia,Sonet,Qashqadaryo,Benzin,4,17399.00,69596.00
2022,Kia,K5,Qashqadaryo,Benzin,2,32322.00,64644.00
2022,Kia,Sportage,Qashqadaryo,Benzin,1,34049.00,34049.00
2022,Geely,Monjaro,Qashqadaryo,Benzin (Turbo),2,35089.00,70178.00
2022,Jetour,Dashing,Qashqadaryo,Benzin (Turbo),2,25979.00,51958.00
2022,Chevrolet,Cobalt,Xorazm,Benzin,72,11395.00,820440.00
2022,Chevrolet,Damas,Xorazm,Benzin,105,8556.00,898380.00
2022,Chevrolet,Labo,Xorazm,Benzin,73,7815.00,570495.00
2022,Chevrolet,Lacetti/Gentra,Xorazm,Benzin,53,13079.00,693187.00
2022,Chevrolet,Tracker-2,Xorazm,Benzin (Turbo),18,20029.00,360522.00
2022,Chevrolet,Onix,Xorazm,Benzin (Turbo),21,16519.00,346899.00
2022,Chevrolet,Malibu-2,Xorazm,Benzin (Turbo),4,33900.00,135600.00
2022,BYD,Song Plus DM-i,Xorazm,Gibrid (PHEV),3,30117.00,90351.00
2022,BYD,Chazor (Destroyer 05),Xorazm,Gibrid (PHEV),4,22742.00,90968.00
2022,BYD,Song Plus EV,Xorazm,Elektromobil (EV),1,34255.00,34255.00
2022,BYD,Han,Xorazm,Elektromobil (EV),1,48301.00,48301.00
2022,Chery,Tiggo 7 Pro,Xorazm,Benzin (Turbo),1,25685.00,25685.00
2022,Chery,Arrizo 6 Pro,Xorazm,Benzin (Turbo),2,20014.00,40028.00
2022,Chery,Tiggo 8 Pro,Xorazm,Benzin (Turbo),1,32136.00,32136.00
2022,Haval,Jolion,Xorazm,Benzin (Turbo),1,22389.00,22389.00
2022,Haval,M6,Xorazm,Benzin,3,18714.00,56142.00
2022,Haval,H6,Xorazm,Benzin (Turbo),1,28413.00,28413.00
2022,Kia,Sonet,Xorazm,Benzin,3,17374.00,52122.00
2022,Kia,K5,Xorazm,Benzin,2,32576.00,65152.00
2022,Kia,Sportage,Xorazm,Benzin,2,34048.00,68096.00
2022,Geely,Monjaro,Xorazm,Benzin (Turbo),1,34991.00,34991.00
2022,Jetour,Dashing,Xorazm,Benzin (Turbo),2,26026.00,52052.00
2022,Chevrolet,Cobalt,Surxondaryo,Benzin,64,11395.00,729280.00
2022,Chevrolet,Damas,Surxondaryo,Benzin,54,8451.00,456354.00
2022,Chevrolet,Labo,Surxondaryo,Benzin,29,8067.00,233943.00
2022,Chevrolet,Lacetti/Gentra,Surxondaryo,Benzin,56,13168.00,737408.00
2022,Chevrolet,Tracker-2,Surxondaryo,Benzin (Turbo),19,19922.00,378518.00
2022,Chevrolet,Onix,Surxondaryo,Benzin (Turbo),21,16036.00,336756.00
2022,Chevrolet,Malibu-2,Surxondaryo,Benzin (Turbo),1,34196.00,34196.00
2022,BYD,Song Plus DM-i,Surxondaryo,Gibrid (PHEV),5,30548.00,152740.00
2022,BYD,Chazor (Destroyer 05),Surxondaryo,Gibrid (PHEV),4,23434.00,93736.00
2022,BYD,Song Plus EV,Surxondaryo,Elektromobil (EV),1,34083.00,34083.00
2022,BYD,Han,Surxondaryo,Elektromobil (EV),1,48143.00,48143.00
2022,Chery,Tiggo 7 Pro,Surxondaryo,Benzin (Turbo),1,25672.00,25672.00
2022,Chery,Arrizo 6 Pro,Surxondaryo,Benzin (Turbo),2,20178.00,40356.00
2022,Chery,Tiggo 8 Pro,Surxondaryo,Benzin (Turbo),1,31852.00,31852.00
2022,Haval,Jolion,Surxondaryo,Benzin (Turbo),2,22408.00,44816.00
2022,Haval,M6,Surxondaryo,Benzin,2,18780.00,37560.00
2022,Haval,H6,Surxondaryo,Benzin (Turbo),1,28522.00,28522.00
2022,Kia,Sonet,Surxondaryo,Benzin,4,17421.00,69684.00
2022,Kia,K5,Surxondaryo,Benzin,2,32534.00,65068.00
2022,Kia,Sportage,Surxondaryo,Benzin,1,34130.00,34130.00
2022,Geely,Monjaro,Surxondaryo,Benzin (Turbo),1,35052.00,35052.00
2022,Jetour,Dashing,Surxondaryo,Benzin (Turbo),2,26029.00,52058.00
2022,Chevrolet,Cobalt,Navoiy,Benzin,49,11469.00,561981.00
2022,Chevrolet,Damas,Navoiy,Benzin,38,8692.00,330296.00
2022,Chevrolet,Labo,Navoiy,Benzin,22,7804.00,171688.00
2022,Chevrolet,Lacetti/Gentra,Navoiy,Benzin,41,12828.00,525948.00
2022,Chevrolet,Tracker-2,Navoiy,Benzin (Turbo),11,20149.00,221639.00
2022,Chevrolet,Onix,Navoiy,Benzin (Turbo),13,16485.00,214305.00
2022,Chevrolet,Malibu-2,Navoiy,Benzin (Turbo),2,34091.00,68182.00
2022,BYD,Song Plus DM-i,Navoiy,Gibrid (PHEV),4,29919.00,119676.00
2022,BYD,Chazor (Destroyer 05),Navoiy,Gibrid (PHEV),2,22881.00,45762.00
2022,BYD,Song Plus EV,Navoiy,Elektromobil (EV),2,33866.00,67732.00
2022,BYD,Han,Navoiy,Elektromobil (EV),1,48038.00,48038.00
2022,Chery,Tiggo 7 Pro,Navoiy,Benzin (Turbo),1,25425.00,25425.00
2022,Chery,Arrizo 6 Pro,Navoiy,Benzin (Turbo),1,20019.00,20019.00
2022,Chery,Tiggo 8 Pro,Navoiy,Benzin (Turbo),1,31925.00,31925.00
2022,Haval,Jolion,Navoiy,Benzin (Turbo),1,22300.00,22300.00
2022,Haval,M6,Navoiy,Benzin,1,18986.00,18986.00
2022,Haval,H6,Navoiy,Benzin (Turbo),1,28490.00,28490.00
2022,Kia,Sonet,Navoiy,Benzin,3,17668.00,53004.00
2022,Kia,K5,Navoiy,Benzin,1,32416.00,32416.00
2022,Kia,Sportage,Navoiy,Benzin,1,33933.00,33933.00
2022,Geely,Monjaro,Navoiy,Benzin (Turbo),1,34879.00,34879.00
2022,Jetour,Dashing,Navoiy,Benzin (Turbo),1,26173.00,26173.00
2022,Chevrolet,Cobalt,Jizzax,Benzin,34,11346.00,385764.00
2022,Chevrolet,Damas,Jizzax,Benzin,24,8532.00,204768.00
2022,Chevrolet,Labo,Jizzax,Benzin,13,7800.00,101400.00
2022,Chevrolet,Lacetti/Gentra,Jizzax,Benzin,23,13172.00,302956.00
2022,Chevrolet,Tracker-2,Jizzax,Benzin (Turbo),8,20120.00,160960.00
2022,Chevrolet,Onix,Jizzax,Benzin (Turbo),11,15986.00,175846.00
2022,Chevrolet,Malibu-2,Jizzax,Benzin (Turbo),1,34172.00,34172.00
2022,BYD,Song Plus DM-i,Jizzax,Gibrid (PHEV),2,29857.00,59714.00
2022,BYD,Chazor (Destroyer 05),Jizzax,Gibrid (PHEV),2,23347.00,46694.00
2022,BYD,Song Plus EV,Jizzax,Elektromobil (EV),1,34397.00,34397.00
2022,BYD,Han,Jizzax,Elektromobil (EV),1,48040.00,48040.00
2022,Chery,Tiggo 7 Pro,Jizzax,Benzin (Turbo),1,25527.00,25527.00
2022,Chery,Arrizo 6 Pro,Jizzax,Benzin (Turbo),1,20011.00,20011.00
2022,Chery,Tiggo 8 Pro,Jizzax,Benzin (Turbo),1,32019.00,32019.00
2022,Haval,Jolion,Jizzax,Benzin (Turbo),1,22334.00,22334.00
2022,Haval,M6,Jizzax,Benzin,1,18852.00,18852.00
2022,Haval,H6,Jizzax,Benzin (Turbo),1,28496.00,28496.00
2022,Kia,Sonet,Jizzax,Benzin,2,17602.00,35204.00
2022,Kia,K5,Jizzax,Benzin,1,32304.00,32304.00
2022,Kia,Sportage,Jizzax,Benzin,1,33918.00,33918.00
2022,Geely,Monjaro,Jizzax,Benzin (Turbo),1,34945.00,34945.00
2022,Jetour,Dashing,Jizzax,Benzin (Turbo),1,26023.00,26023.00
2022,Chevrolet,Cobalt,Sirdaryo,Benzin,23,11614.00,267122.00
2022,Chevrolet,Damas,Sirdaryo,Benzin,22,8582.00,188804.00
2022,Chevrolet,Labo,Sirdaryo,Benzin,10,7904.00,79040.00
2022,Chevrolet,Lacetti/Gentra,Sirdaryo,Benzin,19,12898.00,245062.00
2022,Chevrolet,Tracker-2,Sirdaryo,Benzin (Turbo),6,20086.00,120516.00
2022,Chevrolet,Onix,Sirdaryo,Benzin (Turbo),7,15997.00,111979.00
2022,Chevrolet,Malibu-2,Sirdaryo,Benzin (Turbo),1,33877.00,33877.00
2022,BYD,Song Plus DM-i,Sirdaryo,Gibrid (PHEV),2,30306.00,60612.00
2022,BYD,Chazor (Destroyer 05),Sirdaryo,Gibrid (PHEV),1,23187.00,23187.00
2022,BYD,Song Plus EV,Sirdaryo,Elektromobil (EV),1,34499.00,34499.00
2022,BYD,Han,Sirdaryo,Elektromobil (EV),1,48437.00,48437.00
2022,Chery,Tiggo 7 Pro,Sirdaryo,Benzin (Turbo),1,25417.00,25417.00
2022,Chery,Arrizo 6 Pro,Sirdaryo,Benzin (Turbo),1,19853.00,19853.00
2022,Chery,Tiggo 8 Pro,Sirdaryo,Benzin (Turbo),1,32035.00,32035.00
2022,Haval,Jolion,Sirdaryo,Benzin (Turbo),1,22612.00,22612.00
2022,Haval,M6,Sirdaryo,Benzin,1,18711.00,18711.00
2022,Haval,H6,Sirdaryo,Benzin (Turbo),1,28528.00,28528.00
2022,Kia,Sonet,Sirdaryo,Benzin,1,17640.00,17640.00
2022,Kia,K5,Sirdaryo,Benzin,1,32402.00,32402.00
2022,Kia,Sportage,Sirdaryo,Benzin,1,33991.00,33991.00
2022,Geely,Monjaro,Sirdaryo,Benzin (Turbo),1,35146.00,35146.00
2022,Jetour,Dashing,Sirdaryo,Benzin (Turbo),1,26107.00,26107.00
2022,Chevrolet,Cobalt,Qoraqalpog‘iston Res.,Benzin,20,11634.00,232680.00
2022,Chevrolet,Damas,Qoraqalpog‘iston Res.,Benzin,23,8329.00,191567.00
2022,Chevrolet,Labo,Qoraqalpog‘iston Res.,Benzin,11,7932.00,87252.00
2022,Chevrolet,Lacetti/Gentra,Qoraqalpog‘iston Res.,Benzin,20,13084.00,261680.00
2022,Chevrolet,Tracker-2,Qoraqalpog‘iston Res.,Benzin (Turbo),5,19718.00,98590.00
2022,Chevrolet,Onix,Qoraqalpog‘iston Res.,Benzin (Turbo),7,16520.00,115640.00
2022,Chevrolet,Malibu-2,Qoraqalpog‘iston Res.,Benzin (Turbo),1,33925.00,33925.00
2022,BYD,Song Plus DM-i,Qoraqalpog‘iston Res.,Gibrid (PHEV),3,30596.00,91788.00
2022,BYD,Chazor (Destroyer 05),Qoraqalpog‘iston Res.,Gibrid (PHEV),1,22810.00,22810.00
2022,BYD,Song Plus EV,Qoraqalpog‘iston Res.,Elektromobil (EV),1,34460.00,34460.00
2022,BYD,Han,Qoraqalpog‘iston Res.,Elektromobil (EV),2,48373.00,96746.00
2022,Chery,Tiggo 7 Pro,Qoraqalpog‘iston Res.,Benzin (Turbo),1,25699.00,25699.00
2022,Chery,Arrizo 6 Pro,Qoraqalpog‘iston Res.,Benzin (Turbo),1,19983.00,19983.00
2022,Chery,Tiggo 8 Pro,Qoraqalpog‘iston Res.,Benzin (Turbo),1,32080.00,32080.00
2022,Haval,Jolion,Qoraqalpog‘iston Res.,Benzin (Turbo),1,22392.00,22392.00
2022,Haval,M6,Qoraqalpog‘iston Res.,Benzin,1,18759.00,18759.00
2022,Haval,H6,Qoraqalpog‘iston Res.,Benzin (Turbo),1,28576.00,28576.00
2022,Kia,Sonet,Qoraqalpog‘iston Res.,Benzin,1,17304.00,17304.00
2022,Kia,K5,Qoraqalpog‘iston Res.,Benzin,1,32321.00,32321.00
2022,Kia,Sportage,Qoraqalpog‘iston Res.,Benzin,1,34125.00,34125.00
2022,Geely,Monjaro,Qoraqalpog‘iston Res.,Benzin (Turbo),1,35145.00,35145.00
2022,Jetour,Dashing,Qoraqalpog‘iston Res.,Benzin (Turbo),1,25845.00,25845.00
2022,Chevrolet,Cobalt,Toshkent shahri,Benzin,455,11600.00,5278000.00
2022,Chevrolet,Damas,Toshkent shahri,Benzin,61,8372.00,510692.00
2022,Chevrolet,Labo,Toshkent shahri,Benzin,40,8013.00,320520.00
2022,Chevrolet,Lacetti/Gentra,Toshkent shahri,Benzin,337,13038.00,4393806.00
2022,Chevrolet,Tracker-2,Toshkent shahri,Benzin (Turbo),113,19697.00,2225761.00
2022,Chevrolet,Onix,Toshkent shahri,Benzin (Turbo),140,16547.00,2316580.00
2022,Chevrolet,Malibu-2,Toshkent shahri,Benzin (Turbo),39,33979.00,1325181.00
2022,BYD,Song Plus DM-i,Toshkent shahri,Gibrid (PHEV),86,30568.00,2628848.00
2022,BYD,Chazor (Destroyer 05),Toshkent shahri,Gibrid (PHEV),71,23225.00,1648975.00
2022,BYD,Song Plus EV,Toshkent shahri,Elektromobil (EV),13,34173.00,444249.00
2022,BYD,Han,Toshkent shahri,Elektromobil (EV),6,48385.00,290310.00
2022,Chery,Tiggo 7 Pro,Toshkent shahri,Benzin (Turbo),18,25664.00,461952.00
2022,Chery,Arrizo 6 Pro,Toshkent shahri,Benzin (Turbo),13,20037.00,260481.00
2022,Chery,Tiggo 8 Pro,Toshkent shahri,Benzin (Turbo),5,32162.00,160810.00
2022,Haval,Jolion,Toshkent shahri,Benzin (Turbo),13,22593.00,293709.00
