Yil,Chorak,Davr,Viloyat,Brend,Model,Kuzov_Turi,Dvigatel_Turi,Ishlab_Chiqarish,Narx_Segmenti,Ortacha_Narx_USD,Sotilgan_Soni,Umumiy_Tushum_USD
2022,Q1,2022-Q1,Samarqand,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20083,6,120498
2022,Q1,2022-Q1,Samarqand,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31865,3,95595
2022,Q1,2022-Q1,Samarqand,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22433,3,67299
2022,Q1,2022-Q1,Samarqand,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18883,6,113298
2022,Q1,2022-Q1,Samarqand,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28585,2,57170
2022,Q1,2022-Q1,Samarqand,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17630,11,193930
2022,Q1,2022-Q1,Samarqand,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32530,4,130120
2022,Q1,2022-Q1,Samarqand,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33989,3,101967
2022,Q1,2022-Q1,Samarqand,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34920,1,34920
2022,Q1,2022-Q1,Samarqand,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25915,2,51830
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11497,130,1494610
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8436,245,2066820
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8033,164,1317412
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12971,115,1491665
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20121,38,764598
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16207,43,696901
2022,Q1,2022-Q1,Farg‘ona,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33851,5,169255
2022,Q1,2022-Q1,Farg‘ona,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30117,12,361404
2022,Q1,2022-Q1,Farg‘ona,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22812,8,182496
2022,Q1,2022-Q1,Farg‘ona,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34312,1,34312
2022,Q1,2022-Q1,Farg‘ona,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48565,1,48565
2022,Q1,2022-Q1,Farg‘ona,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25642,7,179494
2022,Q1,2022-Q1,Farg‘ona,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19925,4,79700
2022,Q1,2022-Q1,Farg‘ona,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31929,1,31929
2022,Q1,2022-Q1,Farg‘ona,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22497,2,44994
2022,Q1,2022-Q1,Farg‘ona,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18846,6,113076
2022,Q1,2022-Q1,Farg‘ona,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28422,3,85266
2022,Q1,2022-Q1,Farg‘ona,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17554,10,175540
2022,Q1,2022-Q1,Farg‘ona,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32397,4,129588
2022,Q1,2022-Q1,Farg‘ona,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33997,4,135988
2022,Q1,2022-Q1,Farg‘ona,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34943,3,104829
2022,Q1,2022-Q1,Farg‘ona,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25896,1,25896
2022,Q1,2022-Q1,Andijon,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11648,129,1502592
2022,Q1,2022-Q1,Andijon,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8558,214,1831412
2022,Q1,2022-Q1,Andijon,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8145,144,1172880
2022,Q1,2022-Q1,Andijon,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12946,111,1437006
2022,Q1,2022-Q1,Andijon,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20138,33,664554
2022,Q1,2022-Q1,Andijon,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16525,39,644475
2022,Q1,2022-Q1,Andijon,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33950,4,135800
2022,Q1,2022-Q1,Andijon,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30264,10,302640
2022,Q1,2022-Q1,Andijon,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23463,7,164241
2022,Q1,2022-Q1,Andijon,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),33843,1,33843
2022,Q1,2022-Q1,Andijon,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48571,1,48571
2022,Q1,2022-Q1,Andijon,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25668,6,154008
2022,Q1,2022-Q1,Andijon,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19939,3,59817
2022,Q1,2022-Q1,Andijon,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31836,1,31836
2022,Q1,2022-Q1,Andijon,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22532,4,90128
2022,Q1,2022-Q1,Andijon,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18698,4,74792
2022,Q1,2022-Q1,Andijon,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28451,3,85353
2022,Q1,2022-Q1,Andijon,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17353,9,156177
2022,Q1,2022-Q1,Andijon,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32374,4,129496
2022,Q1,2022-Q1,Andijon,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33912,4,135648
2022,Q1,2022-Q1,Andijon,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35148,2,70296
2022,Q1,2022-Q1,Andijon,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26183,1,26183
2022,Q1,2022-Q1,Namangan,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11462,112,1283744
2022,Q1,2022-Q1,Namangan,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8507,175,1488725
2022,Q1,2022-Q1,Namangan,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8103,110,891330
2022,Q1,2022-Q1,Namangan,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13183,88,1160104
2022,Q1,2022-Q1,Namangan,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19682,33,649506
2022,Q1,2022-Q1,Namangan,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16434,37,608058
2022,Q1,2022-Q1,Namangan,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33821,7,236747
2022,Q1,2022-Q1,Namangan,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30599,9,275391
2022,Q1,2022-Q1,Namangan,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23262,7,162834
2022,Q1,2022-Q1,Namangan,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34137,1,34137
2022,Q1,2022-Q1,Namangan,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48276,1,48276
2022,Q1,2022-Q1,Namangan,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25585,5,127925
2022,Q1,2022-Q1,Namangan,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20116,4,80464
2022,Q1,2022-Q1,Namangan,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32103,2,64206
2022,Q1,2022-Q1,Namangan,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22519,2,45038
2022,Q1,2022-Q1,Namangan,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18757,4,75028
2022,Q1,2022-Q1,Namangan,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28480,1,28480
2022,Q1,2022-Q1,Namangan,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17394,8,139152
2022,Q1,2022-Q1,Namangan,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32460,2,64920
2022,Q1,2022-Q1,Namangan,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34055,1,34055
2022,Q1,2022-Q1,Namangan,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35022,1,35022
2022,Q1,2022-Q1,Namangan,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25853,1,25853
2022,Q1,2022-Q1,Buxoro,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11579,132,1528428
2022,Q1,2022-Q1,Buxoro,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8413,92,773996
2022,Q1,2022-Q1,Buxoro,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8185,43,351955
2022,Q1,2022-Q1,Buxoro,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13072,92,1202624
2022,Q1,2022-Q1,Buxoro,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20187,27,545049
2022,Q1,2022-Q1,Buxoro,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16382,34,556988
2022,Q1,2022-Q1,Buxoro,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34112,4,136448
2022,Q1,2022-Q1,Buxoro,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),29885,11,328735
2022,Q1,2022-Q1,Buxoro,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23211,8,185688
2022,Q1,2022-Q1,Buxoro,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34099,2,68198
2022,Q1,2022-Q1,Buxoro,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48799,1,48799
2022,Q1,2022-Q1,Buxoro,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25514,3,76542
2022,Q1,2022-Q1,Buxoro,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19985,1,19985
2022,Q1,2022-Q1,Buxoro,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31862,2,63724
2022,Q1,2022-Q1,Buxoro,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22469,2,44938
2022,Q1,2022-Q1,Buxoro,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18925,3,56775
2022,Q1,2022-Q1,Buxoro,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28400,2,56800
2022,Q1,2022-Q1,Buxoro,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17563,4,70252
2022,Q1,2022-Q1,Buxoro,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32304,2,64608
2022,Q1,2022-Q1,Buxoro,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33902,2,67804
2022,Q1,2022-Q1,Buxoro,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35110,3,105330
2022,Q1,2022-Q1,Buxoro,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26107,3,78321
2022,Q1,2022-Q1,Qashqadaryo,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11357,72,817704
2022,Q1,2022-Q1,Qashqadaryo,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8645,56,484120
